Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adult Families in Shelter,Individuals in Adult Families in Shelter
01-Jan-18,37388,22711,60099,10644,4039,14683,12721,2516,5309
02-Jan-18,38059,22970,61029,10997,4128,15125,12894,2512,5298
03-Jan-18,37732,22652,60384,11038,4127,15165,12730,2462,5206
04-Jan-18,37447,22382,59829,11134,4089,15223,12565,2423,5117
05-Jan-18,37392,22116,59508,11183,4141,15324,12436,2399,5073
06-Jan-18,36878,21815,58693,11023,4158,15181,12266,2383,5039
07-Jan-18,37131,21819,58950,11079,4195,15274,12320,2425,5135
08-Jan-18,37120,21749,58869,11035,4262,15297,12325,2424,5146
09-Jan-18,37491,22113,59604,11051,4286,15337,12552,2482,5274
10-Jan-18,38015,22376,60391,11280,4363,15643,12660,2518,5349
11-Jan-18,38273,22523,60796,11433,4401,15834,12741,2548,5392
12-Jan-18,38269,22450,60719,11550,4425,15975,12714,2517,5326
13-Jan-18,37467,22710,60177,10723,4058,14781,12716,2496,5266
14-Jan-18,37641,22760,60401,10807,4082,14889,12759,2500,5276
15-Jan-18,37667,22813,60480,10774,4110,14884,12777,2505,5287
16-Jan-18,37655,22786,60441,10792,4092,14884,12771,2504,5286
17-Jan-18,37718,22813,60531,10805,4115,14920,12793,2506,5287
18-Jan-18,37777,22783,60560,10812,4150,14962,12775,2530,5336
19-Jan-18,37742,22795,60537,10792,4136,14928,12801,2519,5314
20-Jan-18,37742,22888,60630,10782,4104,14886,12848,2511,5300
21-Jan-18,37829,22874,60703,10834,4124,14958,12847,2511,5300
22-Jan-18,37823,22824,60647,10877,4123,15000,12817,2511,5296
23-Jan-18,37852,22880,60732,10883,4137,15020,12835,2502,5279
24-Jan-18,37891,22904,60795,10893,4138,15031,12856,2513,5299
25-Jan-18,37926,22919,60845,10920,4126,15046,12874,2505,5284
26-Jan-18,37916,22927,60843,10905,4122,15027,12876,2505,5294
27-Jan-18,37875,22922,60797,10902,4114,15016,12874,2494,5268
28-Jan-18,37931,22930,60861,10939,4120,15059,12883,2493,5269
29-Jan-18,37973,22930,60903,10913,4145,15058,12870,2516,5313
30-Jan-18,38009,22906,60915,10976,4143,15119,12853,2515,5310
31-Jan-18,38088,22950,61038,10989,4150,15139,12878,2524,5330
01-Feb-18,37444,22682,60126,10695,4064,14759,12706,2516,5308
02-Feb-18,37976,22974,60950,10974,4101,15075,12887,2500,5272
03-Feb-18,37776,22647,60423,11051,4133,15184,12727,2474,5230
04-Feb-18,37538,22354,59892,11158,4120,15278,12555,2443,5160
05-Feb-18,37355,22110,59465,11184,4125,15309,12424,2398,5072
06-Feb-18,36842,21803,58645,11036,4149,15185,12258,2370,5011
07-Feb-18,37187,21831,59018,11076,4197,15273,12322,2449,5186
08-Feb-18,37162,21701,58863,11081,4265,15346,12308,2437,5173
09-Feb-18,37594,22183,59777,11116,4305,15421,12573,2471,5252
10-Feb-18,38059,22464,60523,11298,4394,15692,12691,2501,5315
11-Feb-18,38214,22522,60736,11393,4373,15766,12746,2547,5391
12-Feb-18,38343,22470,60813,11579,4448,16027,12730,2519,5330
13-Feb-18,37978,22782,60760,11071,4188,15259,12779,2489,5247
14-Feb-18,37969,22786,60755,11055,4183,15238,12784,2491,5254
15-Feb-18,38009,22766,60775,11078,4203,15281,12782,2490,5254
16-Feb-18,37900,22693,60593,11026,4184,15210,12760,2487,5248
17-Feb-18,37835,22651,60486,11018,4193,15211,12737,2472,5218
18-Feb-18,37899,22662,60561,11058,4188,15246,12743,2479,5230
19-Feb-18,37930,22622,60552,11086,4211,15297,12725,2483,5238
20-Feb-18,37909,22620,60529,11062,4195,15257,12737,2485,5242
21-Feb-18,37874,22598,60472,11094,4187,15281,12722,2474,5221
22-Feb-18,37916,22654,60570,11118,4189,15307,12739,2477,5224
23-Feb-18,37839,22639,60478,11047,4189,15236,12736,2474,5221
24-Feb-18,37769,22597,60366,11056,4186,15242,12709,2453,5179
25-Feb-18,37824,22603,60427,11107,4183,15290,12702,2461,5198
26-Feb-18,37870,22600,60470,11119,4190,15309,12702,2473,5224
27-Feb-18,37837,22620,60457,11109,4179,15288,12715,2462,5199
28-Feb-18,37800,22643,60443,11063,4162,15225,12718,2466,5214
01-Mar-18,37301,22542,59843,10684,4047,14731,12619,2507,5291
02-Mar-18,38019,22983,61002,10988,4116,15104,12891,2506,5286
03-Mar-18,37684,22600,60284,11007,4152,15159,12707,2458,5194
04-Mar-18,37533,22298,59831,11171,4127,15298,12533,2440,5155
05-Mar-18,37246,22106,59352,11103,4130,15233,12412,2390,5055
06-Mar-18,36995,21810,58805,11121,4193,15314,12264,2376,5026
07-Mar-18,37145,21907,59052,11068,4156,15224,12343,2438,5165
08-Mar-18,37103,21737,58840,11028,4263,15291,12312,2437,5172
09-Mar-18,37618,22170,59788,11130,4321,15451,12566,2467,5245
10-Mar-18,38087,22500,60587,11310,4383,15693,12720,2501,5308
11-Mar-18,38282,22515,60797,11431,4388,15819,12760,2543,5385
12-Mar-18,38400,22447,60847,11626,4447,16073,12726,2522,5338
13-Mar-18,37782,22520,60302,11134,4174,15308,12644,2470,5216
14-Mar-18,37786,22550,60336,11122,4178,15300,12665,2468,5212
15-Mar-18,37840,22585,60425,11151,4184,15335,12679,2471,5216
16-Mar-18,37738,22580,60318,11089,4165,15254,12668,2470,5217
17-Mar-18,37711,22601,60312,11094,4156,15250,12674,2460,5194
18-Mar-18,37771,22610,60381,11142,4159,15301,12683,2463,5199
19-Mar-18,37762,22593,60355,11122,4153,15275,12680,2468,5208
20-Mar-18,37851,22570,60421,11177,4183,15360,12667,2480,5233
21-Mar-18,37902,22627,60529,11187,4184,15371,12708,2471,5215
22-Mar-18,37804,22562,60366,11178,4155,15333,12665,2471,5214
23-Mar-18,37694,22538,60232,11136,4129,15265,12659,2456,5182
24-Mar-18,37584,22469,60053,11134,4096,15230,12607,2453,5174
25-Mar-18,37674,22464,60138,11190,4132,15322,12597,2459,5187
26-Mar-18,37677,22456,60133,11174,4146,15320,12587,2469,5208
27-Mar-18,37675,22414,60089,11191,4160,15351,12565,2466,5202
28-Mar-18,37648,22410,60058,11183,4149,15332,12561,2461,5194
29-Mar-18,37572,22408,59980,11134,4142,15276,12559,2459,5188
30-Mar-18,37363,22372,59735,11031,4111,15142,12541,2438,5145
31-Mar-18,37356,22375,59731,11058,4108,15166,12541,2424,5116
01-Apr-18,37461,22636,60097,10706,4061,14767,12691,2516,5309
02-Apr-18,38047,22978,61025,10999,4128,15127,12889,2509,5292
03-Apr-18,37730,22633,60363,11042,4154,15196,12721,2452,5181
04-Apr-18,37450,22348,59838,11050,4130,15173,12590,2433,5131
05-Apr-18,37187,22068,59255,11055,4114,15169,12400,2401,5074
06-Apr-18,37045,21801,58846,11146,4200,15346,12250,2388,5053
07-Apr-18,37051,21927,58978,10993,4143,15136,12353,2434,5158
08-Apr-18,37137,21791,58928,11041,4245,15286,12349,2431,5165
09-Apr-18,37663,22116,59779,11214,4321,15535,12531,2479,5266
10-Apr-18,38144,22555,60699,11330,4379,15709,12732,2512,5331
11-Apr-18,38315,22530,60845,11460,4404,15864,12754,2541,5383
12-Apr-18,38469,22486,60955,11667,4460,16127,12741,2519,5328
13-Apr-18,37476,22263,59739,11145,4120,15265,12483,2422,5117
14-Apr-18,37397,22225,59622,11122,4123,15245,12460,2414,5101
15-Apr-18,37557,22209,59766,11269,4155,15424,12458,2404,5082
16-Apr-18,37560,22209,59769,11260,4165,15425,12453,2415,5103
17-Apr-18,37626,22175,59801,11307,4163,15470,12429,2434,5146
18-Apr-18,37581,22184,59765,11288,4152,15440,12436,2427,5133
19-Apr-18,37561,22184,59745,11293,4167,15460,12428,2410,5097
20-Apr-18,37466,22160,59626,11215,4153,15368,12421,2413,5105
21-Apr-18,37444,22168,59612,11194,4146,15340,12430,2407,5093
22-Apr-18,37485,22132,59617,11248,4155,15403,12418,2408,5095
23-Apr-18,37541,22160,59701,11256,4157,15413,12431,2421,5120
24-Apr-18,37487,22059,59546,11280,4178,15458,12388,2403,5083
25-Apr-18,37519,22119,59638,11289,4160,15449,12411,2406,5090
26-Apr-18,37527,22124,59651,11272,4162,15434,12430,2408,5091
27-Apr-18,37482,22122,59604,11245,4163,15408,12431,2397,5067
28-Apr-18,37411,22125,59536,11227,4129,15356,12439,2383,5039
29-Apr-18,37463,22105,59568,11275,4166,15441,12428,2375,5021
30-Apr-18,37484,22103,59587,11276,4143,15419,12428,2400,5075
01-May-18,37354,22566,59920,10688,4049,14737,12638,2517,5314
02-May-18,38040,22985,61025,11011,4111,15122,12882,2515,5304
03-May-18,37806,22613,60419,11107,4167,15274,12707,2466,5212
04-May-18,37460,22330,59790,11058,4115,15173,12540,2454,5184
05-May-18,37092,22043,59135,11039,4114,15153,12379,2381,5034
06-May-18,36996,21720,58716,11129,4211,15340,12219,2395,5065
07-May-18,37094,21957,59051,11007,4140,15147,12358,2441,5171
08-May-18,37261,21827,59088,11088,4285,15373,12365,2435,5174
09-May-18,37702,22113,59815,11253,4329,15582,12517,2480,5273
10-May-18,38082,22575,60657,11252,4358,15610,12743,2521,5351
11-May-18,38377,22501,60878,11518,4413,15931,12734,2559,5419
12-May-18,38543,22531,61074,11696,4463,16159,12766,2520,5332
13-May-18,37310,21969,59279,11198,4164,15362,12360,2403,5080
14-May-18,37288,21943,59231,11201,4160,15361,12339,2410,5093
15-May-18,37349,21968,59317,11237,4174,15411,12342,2412,5098
16-May-18,37413,22061,59474,11260,4175,15435,12390,2403,5082
17-May-18,37377,22062,59439,11225,4170,15395,12406,2396,5066
18-May-18,37307,22056,59363,11185,4146,15331,12409,2391,5055
19-May-18,37179,21998,59177,11126,4152,15278,12379,2380,5034
20-May-18,37210,21948,59158,11138,4189,15327,12348,2390,5055
21-May-18,37151,21880,59031,11119,4181,15300,12308,2400,5075
22-May-18,37253,21893,59146,11227,4189,15416,12297,2405,5085
23-May-18,37224,21894,59118,11198,4192,15390,12315,2399,5072
24-May-18,37164,21885,59049,11164,4186,15350,12310,2393,5061
25-May-18,37045,21845,58890,11069,4181,15250,12302,2396,5064
26-May-18,37030,21818,58848,11085,4180,15265,12281,2394,5060
27-May-18,37100,21778,58878,11178,4203,15381,12254,2392,5053
28-May-18,37162,21810,58972,11194,4219,15413,12260,2400,5073
29-May-18,37153,21793,58946,11214,4188,15402,12256,2396,5065
30-May-18,37125,21775,58900,11199,4209,15408,12252,2396,5066
31-May-18,37006,21780,58786,11130,4196,15326,12251,2383,5038
01-Jun-18,37313,22579,59892,10686,4027,14713,12644,2504,5288
02-Jun-18,38038,22964,61002,11009,4151,15160,12870,2503,5280
03-Jun-18,37758,22636,60394,11080,4161,15241,12696,2461,5203
04-Jun-18,37476,22337,59813,11092,4107,15199,12526,2448,5171
05-Jun-18,37217,22031,59248,11122,4158,15280,12372,2385,5043
06-Jun-18,37015,21772,58787,11123,4218,15341,12258,2387,5047
07-Jun-18,37011,21862,58873,10972,4162,15134,12304,2443,5180
08-Jun-18,37293,21823,59116,11111,4290,15401,12367,2438,5180
09-Jun-18,37650,22097,59747,11221,4273,15494,12530,2489,5290
10-Jun-18,38059,22598,60657,11230,4345,15575,12765,2509,5327
11-Jun-18,38346,22501,60847,11529,4407,15936,12737,2541,5382
12-Jun-18,38563,22498,61061,11712,4463,16175,12763,2520,5331
13-Jun-18,37103,21720,58823,11127,4225,15352,12280,2414,5104
14-Jun-18,37086,21748,58834,11106,4224,15330,12300,2409,5092
15-Jun-18,36970,21740,58710,11051,4175,15226,12286,2411,5098
16-Jun-18,36988,21744,58732,11071,4158,15229,12300,2413,5100
17-Jun-18,37136,21768,58904,11117,4226,15343,12309,2415,5103
18-Jun-18,37232,21753,58985,11200,4237,15437,12297,2423,5120
19-Jun-18,37111,21696,58807,11188,4216,15404,12264,2402,5079
20-Jun-18,37090,21700,58790,11190,4207,15397,12267,2393,5057
21-Jun-18,37058,21656,58714,11173,4225,15398,12248,2391,5054
22-Jun-18,36983,21640,58623,11100,4220,15320,12243,2401,5073
23-Jun-18,36950,21626,58576,11115,4213,15328,12240,2384,5042
24-Jun-18,37050,21673,58723,11157,4218,15375,12253,2400,5075
25-Jun-18,37100,21722,58822,11171,4198,15369,12268,2415,5104
26-Jun-18,37054,21609,58663,11199,4202,15401,12209,2416,5107
27-Jun-18,37134,21639,58773,11215,4208,15423,12233,2419,5116
28-Jun-18,37212,21764,58976,11193,4227,15420,12280,2427,5132
29-Jun-18,36971,21784,58755,10985,4181,15166,12284,2433,5148
30-Jun-18,36971,21756,58727,11009,4171,15180,12289,2424,5131
01-Jul-18,37435,22657,60092,10698,4044,14742,12693,2512,5305
02-Jul-18,38108,22967,61075,11033,4175,15208,12872,2514,5303
03-Jul-18,37847,22641,60488,11143,4158,15301,12704,2469,5217
04-Jul-18,37470,22275,59745,11124,4112,15236,12503,2438,5152
05-Jul-18,37259,22025,59284,11145,4169,15314,12368,2390,5054
06-Jul-18,37004,21755,58759,11105,4227,15332,12260,2390,5052
07-Jul-18,37038,21870,58908,11000,4156,15156,12307,2444,5181
08-Jul-18,37386,21877,59263,11133,4306,15439,12378,2449,5203
09-Jul-18,37626,22159,59785,11150,4291,15441,12551,2487,5285
10-Jul-18,38150,22583,60733,11300,4362,15662,12764,2513,5336
11-Jul-18,38464,22585,61049,11579,4413,15992,12779,2545,5390
12-Jul-18,38483,22453,60936,11672,4449,16121,12744,2521,5335
13-Jul-18,37026,21835,58861,11038,4162,15200,12290,2437,5166
14-Jul-18,37024,21863,58887,11034,4163,15197,12327,2417,5126
15-Jul-18,37152,21863,59015,11099,4217,15316,12324,2420,5131
16-Jul-18,37155,21803,58958,11110,4205,15315,12304,2432,5155
17-Jul-18,37151,21785,58936,11123,4229,15352,12297,2422,5131
18-Jul-18,37206,21854,59060,11144,4219,15363,12342,2419,5129
19-Jul-18,37180,21845,59025,11121,4216,15337,12341,2419,5127
20-Jul-18,37035,21787,58822,11038,4187,15225,12322,2421,5130
21-Jul-18,37094,21776,58870,11099,4197,15296,12321,2417,5124
22-Jul-18,37179,21757,58936,11166,4222,15388,12315,2420,5131
23-Jul-18,37169,21723,58892,11152,4234,15386,12285,2430,5154
24-Jul-18,37252,21710,58962,11219,4264,15483,12278,2425,5142
25-Jul-18,37305,21797,59102,11180,4273,15453,12323,2438,5173
26-Jul-18,37216,21792,59008,11128,4250,15378,12314,2437,5172
27-Jul-18,37195,21734,58929,11117,4257,15374,12306,2428,5153
28-Jul-18,37139,21765,58904,11072,4249,15321,12323,2426,5147
29-Jul-18,37238,21783,59021,11140,4274,15414,12329,2422,5139
30-Jul-18,37217,21744,58961,11128,4282,15410,12311,2428,5149
31-Jul-18,37190,21762,58952,11097,4259,15356,12320,2438,5170
01-Aug-18,37505,22655,60160,10715,4079,14794,12696,2514,5313
02-Aug-18,38053,22918,60971,11042,4164,15206,12851,2501,5275
03-Aug-18,37835,22671,60506,11119,4152,15271,12716,2466,5212
04-Aug-18,37458,22293,59751,11094,4127,15221,12507,2440,5157
05-Aug-18,37253,22008,59261,11153,4165,15318,12364,2386,5046
06-Aug-18,36925,21781,58706,11029,4173,15202,12273,2402,5077
07-Aug-18,37157,21908,59065,11080,4188,15268,12329,2439,5170
08-Aug-18,37367,21850,59217,11140,4290,15430,12384,2444,5191
09-Aug-18,37678,22213,59891,11180,4306,15486,12568,2480,5271
10-Aug-18,38210,22569,60779,11326,4405,15731,12754,2516,5341
11-Aug-18,38461,22601,61062,11556,4427,15983,12783,2544,5389
12-Aug-18,38456,22423,60879,11699,4421,16120,12731,2519,5332
13-Aug-18,37444,21812,59256,11162,4301,15463,12373,2469,5244
14-Aug-18,37464,21831,59295,11191,4313,15504,12375,2458,5221
15-Aug-18,37562,21945,59507,11198,4324,15522,12428,2468,5240
16-Aug-18,37550,21935,59485,11201,4323,15524,12422,2471,5243
17-Aug-18,37467,21942,59409,11136,4303,15439,12435,2470,5241
18-Aug-18,37469,21977,59446,11121,4311,15432,12448,2468,5240
19-Aug-18,37588,22004,59592,11199,4327,15526,12472,2464,5232
20-Aug-18,37678,22024,59702,11235,4334,15569,12486,2473,5249
21-Aug-18,37592,21963,59555,11217,4333,15550,12446,2474,5254
22-Aug-18,37733,22043,59776,11236,4360,15596,12496,2485,5275
23-Aug-18,37703,22041,59744,11244,4359,15603,12494,2473,5252
24-Aug-18,37593,22053,59646,11149,4330,15479,12507,2475,5254
25-Aug-18,37557,22072,59629,11114,4309,15423,12519,2473,5253
26-Aug-18,37721,22140,59861,11202,4333,15535,12552,2479,5267
27-Aug-18,37717,22117,59834,11181,4359,15540,12539,2480,5269
28-Aug-18,37635,22025,59660,11183,4341,15524,12497,2476,5259
29-Aug-18,37707,22136,59843,11191,4346,15537,12546,2477,5262
30-Aug-18,37691,22123,59814,11171,4332,15503,12556,2477,5263
31-Aug-18,37508,22118,59626,11066,4275,15341,12555,2475,5259
01-Sept-18,37449,22595,60044,10746,4064,14810,12664,2505,5289
02-Sept-18,38035,22891,60926,11032,4164,15196,12853,2492,5260
03-Sept-18,37769,22586,60355,11088,4157,15245,12680,2465,5210
04-Sept-18,37600,22310,59910,11200,4145,15345,12512,2447,5170
05-Sept-18,37299,22046,59345,11161,4177,15338,12375,2398,5069
06-Sept-18,36963,21794,58757,11006,4187,15193,12295,2408,5090
07-Sept-18,37178,21878,59056,11073,4196,15269,12310,2452,5196
08-Sept-18,37384,21854,59238,11149,4274,15423,12388,2454,5214
09-Sept-18,37841,22266,60107,11267,4356,15623,12597,2473,5255
10-Sept-18,38244,22590,60834,11329,4397,15726,12764,2533,5375
11-Sept-18,38354,22517,60871,11521,4410,15931,12751,2541,5384
12-Sept-18,38578,22507,61085,11695,4462,16157,12771,2530,5354
13-Sept-18,37976,22264,60240,11288,4381,15669,12617,2503,5323
14-Sept-18,37845,22243,60088,11208,4355,15563,12610,2500,5315
15-Sept-18,37859,22294,60153,11199,4370,15569,12632,2481,5281
16-Sept-18,37933,22347,60280,11248,4374,15622,12651,2481,5281
17-Sept-18,38030,22321,60351,11320,4401,15721,12635,2500,5319
18-Sept-18,38083,22354,60437,11338,4400,15738,12658,2502,5321
19-Sept-18,38071,22434,60505,11315,4400,15715,12695,2488,5293
20-Sept-18,38012,22456,60468,11281,4395,15676,12695,2482,5278
21-Sept-18,38024,22527,60551,11264,4356,15620,12732,2491,5293
22-Sept-18,38046,22540,60586,11252,4379,15631,12745,2491,5289
23-Sept-18,38138,22532,60670,11329,4402,15731,12752,2490,5288
24-Sept-18,38181,22538,60719,11346,4408,15754,12749,2498,5303
25-Sept-18,38203,22554,60757,11344,4408,15752,12757,2502,5311
26-Sept-18,38175,22559,60734,11323,4414,15737,12759,2496,5300
27-Sept-18,38120,22549,60669,11311,4406,15717,12741,2493,5294
28-Sept-18,37990,22468,60458,11248,4380,15628,12701,2498,5302
29-Sept-18,37938,22456,60394,11203,4386,15589,12689,2495,5297
30-Sept-18,38020,22420,60440,11284,4401,15685,12673,2496,5301
01-Oct-18,37481,22627,60108,10762,4068,14830,12686,2503,5285
02-Oct-18,37885,22831,60716,10980,4144,15124,12812,2488,5249
03-Oct-18,37681,22601,60282,11077,4121,15198,12675,2451,5179
04-Oct-18,37608,22291,59899,11218,4164,15382,12496,2442,5162
05-Oct-18,37307,22060,59367,11164,4169,15333,12380,2401,5074
06-Oct-18,37123,21787,58910,11104,4224,15328,12303,2414,5103
07-Oct-18,37178,21832,59010,11102,4225,15327,12282,2443,5179
08-Oct-18,37310,21859,59169,11055,4269,15324,12388,2460,5229
09-Oct-18,37854,22240,60094,11266,4371,15637,12574,2485,5283
11-Oct-18,38387,22540,60927,11532,4411,15943,12764,2539,5385
12-Oct-18,38590,22475,61065,11715,4472,16187,12739,2537,5368
13-Oct-18,38245,22649,60894,11336,4371,15707,12799,2524,5357
14-Oct-18,38298,22663,60961,11351,4419,15770,12790,2522,5353
15-Oct-18,38323,22644,60967,11362,4417,15779,12775,2540,5393
16-Oct-18,38276,22642,60918,11364,4368,15732,12784,2539,5387
17-Oct-18,38338,22665,61003,11360,4426,15786,12804,2534,5379
18-Oct-18,38305,22614,60919,11385,4422,15807,12779,2522,5353
19-Oct-18,38258,22618,60876,11369,4413,15782,12776,2516,5339
20-Oct-18,38230,22632,60862,11315,4416,15731,12797,2517,5340
21-Oct-18,38309,22631,60940,11399,4427,15826,12793,2515,5336
22-Oct-18,38294,22572,60866,11413,4443,15856,12754,2523,5352
23-Oct-18,38313,22564,60877,11428,4428,15856,12761,2526,5356
24-Oct-18,38389,22570,60959,11493,4436,15929,12768,2527,5355
25-Oct-18,38377,22519,60896,11501,4443,15944,12748,2532,5366
26-Oct-18,38351,22538,60889,11484,4420,15904,12751,2538,5374
27-Oct-18,38363,22544,60907,11488,4424,15912,12759,2537,5371
28-Oct-18,38411,22546,60957,11515,4435,15950,12765,2541,5379
29-Oct-18,38387,22506,60893,11537,4427,15964,12735,2543,5381
30-Oct-18,38348,22508,60856,11506,4422,15928,12729,2542,5379
31-Oct-18,38344,22524,60868,11486,4425,15911,12743,2545,5384
01-Nov-18,37571,22725,60296,10776,4087,14863,12747,2492,5260
02-Nov-18,37939,22853,60792,11024,4171,15195,12815,2479,5231
03-Nov-18,37795,22621,60416,11113,4169,15282,12691,2456,5189
04-Nov-18,37640,22293,59933,11239,4169,15408,12492,2435,5147
05-Nov-18,37173,22004,59177,11110,4131,15241,12363,2393,5059
06-Nov-18,37024,21702,58726,11069,4214,15283,12258,2417,5107
07-Nov-18,37217,21829,59046,11126,4212,15338,12299,2447,5190
08-Nov-18,37390,21866,59256,11100,4276,15376,12401,2464,5236
09-Nov-18,37912,22257,60169,11303,4374,15677,12590,2484,5282
10-Nov-18,38237,22561,60798,11363,4380,15743,12774,2518,5345
11-Nov-18,38469,22549,61018,11604,4429,16033,12766,2536,5380
12-Nov-18,38591,22457,61048,11739,4465,16204,12733,2533,5361
13-Nov-18,38535,22573,61108,11647,4442,16089,12768,2544,5394
14-Nov-18,38570,22604,61174,11666,4446,16112,12771,2547,5400
15-Nov-18,38467,22585,61052,11554,4451,16005,12776,2551,5409
16-Nov-18,38493,22590,61083,11566,4443,16009,12783,2561,5425
17-Nov-18,38439,22593,61032,11561,4431,15992,12779,2546,5395
18-Nov-18,38503,22580,61083,11603,4453,16056,12773,2548,5398
19-Nov-18,38469,22544,61013,11628,4451,16079,12742,2542,5385
20-Nov-18,38473,22570,61043,11618,4447,16065,12767,2537,5373
21-Nov-18,38413,22571,60984,11586,4426,16012,12771,2534,5366
22-Nov-18,38425,22565,60990,11578,4417,15995,12777,2539,5374
23-Nov-18,38400,22546,60946,11588,4406,15994,12761,2536,5372
24-Nov-18,38340,22494,60834,11574,4422,15996,12725,2531,5363
25-Nov-18,38334,22443,60777,11585,4438,16023,12703,2526,5353
26-Nov-18,38413,22457,60870,11646,4451,16097,12701,2531,5363
27-Nov-18,38434,22477,60911,11676,4458,16134,12706,2520,5339
28-Nov-18,38441,22493,60934,11685,4455,16140,12721,2514,5326
29-Nov-18,38481,22511,60992,11664,4469,16133,12734,2523,5340
30-Nov-18,38312,22481,60793,11588,4418,16006,12716,2518,5329
01-Dec-18,37454,22759,60213,10689,4047,14736,12744,2494,5261
02-Dec-18,37963,22791,60754,11043,4184,15227,12786,2491,5257
03-Dec-18,37849,22600,60449,11127,4168,15295,12676,2480,5237
04-Dec-18,37647,22285,59932,11256,4166,15422,12503,2422,5118
05-Dec-18,37211,21961,59172,11138,4147,15285,12353,2401,5076
06-Dec-18,37030,21692,58722,11096,4210,15306,12258,2409,5092
07-Dec-18,37119,21845,58964,11062,4201,15263,12299,2442,5176
08-Dec-18,37441,21859,59300,11140,4283,15423,12401,2470,5248
09-Dec-18,38001,22308,60309,11318,4385,15703,12619,2500,5313
10-Dec-18,38210,22597,60807,11349,4375,15724,12775,2516,5341
11-Dec-18,38504,22560,61064,11627,4430,16057,12763,2542,5391
12-Dec-18,38623,22481,61104,11715,4485,16200,12756,2538,5373
13-Dec-18,38636,22526,61162,11678,4474,16152,12776,2549,5398
14-Dec-18,38462,22440,60902,11600,4440,16040,12733,2548,5392
15-Dec-18,38463,22461,60924,11620,4429,16049,12744,2535,5366
16-Dec-18,38551,22454,61005,11711,4449,16160,12736,2533,5361
17-Dec-18,38577,22401,60978,11727,4463,16190,12699,2553,5404
18-Dec-18,38601,22421,61022,11751,4480,16231,12696,2543,5381
19-Dec-18,38544,22405,60949,11728,4451,16179,12700,2542,5377
20-Dec-18,38510,22377,60887,11727,4436,16163,12684,2548,5391
21-Dec-18,38417,22362,60779,11678,4436,16114,12668,2534,5361
22-Dec-18,38384,22342,60726,11660,4412,16072,12661,2544,5381
23-Dec-18,38412,22308,60720,11697,4423,16120,12645,2545,5384
24-Dec-18,38266,22255,60521,11603,4405,16008,12612,2551,5395
25-Dec-18,38318,22284,60602,11644,4397,16041,12627,2546,5383
26-Dec-18,38383,22261,60644,11696,4412,16108,12606,2557,5408
