Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adult Families in Shelter,Individuals in Adult Families in Shelter
27-Dec-19,38035,21367,59402,12212,4584,16796,11966,2478,5212
28-Dec-19,37987,21302,59289,12245,4570,16815,11921,2470,5196
29-Dec-19,38014,21263,59277,12280,4582,16862,11902,2471,5197
30-Dec-19,38081,21266,59347,12311,4606,16917,11910,2471,5197
31-Dec-19,37705,21322,59027,11965,4543,16508,11931,2474,5205
01-Jan-20,38026,21352,59378,12213,4569,16782,11947,2485,5228
02-Jan-20,38161,21237,59398,12396,4668,17064,11879,2463,5186
03-Jan-20,37799,20652,58451,12552,4683,17235,11498,2436,5139
04-Jan-20,37728,20330,58058,12659,4617,17276,11436,2446,5151
05-Jan-20,36955,19750,56705,12703,4499,17202,11030,2361,4982
06-Jan-20,36916,19403,56319,12957,4501,17458,10885,2319,4894
07-Jan-20,36559,19001,55560,13038,4453,17491,10677,2264,4782
08-Jan-20,36156,18654,54810,13049,4481,17530,10486,2198,4644
09-Jan-20,36061,18441,54502,13239,4525,17764,10406,2134,4507
10-Jan-20,35828,18269,54097,13242,4524,17766,10327,2089,4420
11-Jan-20,35999,18125,54124,13559,4533,18092,10285,2055,4347
12-Jan-20,35754,17747,53501,13698,4516,18214,10117,2002,4234
13-Jan-20,38368,21479,59847,12403,4638,17041,12018,2488,5232
14-Jan-20,38490,21512,60002,12440,4664,17104,12044,2495,5251
15-Jan-20,38400,21505,59905,12404,4658,17062,12031,2481,5223
16-Jan-20,38418,21497,59915,12411,4674,17085,12028,2479,5218
17-Jan-20,38400,21467,59867,12392,4675,17067,12012,2490,5241
18-Jan-20,38368,21422,59790,12400,4695,17095,11989,2474,5208
19-Jan-20,38415,21422,59837,12423,4700,17123,11990,2478,5218
20-Jan-20,38465,21404,59869,12477,4701,17178,11974,2486,5236
21-Jan-20,38512,21445,59957,12490,4722,17212,11987,2483,5230
22-Jan-20,38469,21419,59888,12469,4738,17207,11966,2482,5222
23-Jan-20,38464,21399,59863,12455,4728,17183,11966,2493,5246
24-Jan-20,38330,21356,59686,12391,4691,17082,11946,2489,5233
25-Jan-20,38367,21362,59729,12424,4709,17133,11951,2471,5202
26-Jan-20,38431,21372,59803,12482,4721,17203,11957,2467,5194
27-Jan-20,38466,21370,59836,12484,4734,17218,11952,2478,5217
28-Jan-20,38458,21295,59753,12510,4741,17251,11921,2480,5220
29-Jan-20,38405,21300,59705,12488,4731,17219,11926,2475,5209
30-Jan-20,38374,21268,59642,12504,4731,17235,11903,2476,5212
31-Jan-20,38216,21278,59494,12401,4677,17078,11904,2469,5199
01-Feb-20,38039,21341,59380,12213,4584,16797,11943,2485,5228
02-Feb-20,38231,21252,59483,12454,4680,17134,11881,2458,5176
03-Feb-20,37786,20631,58417,12530,4675,17205,11488,2448,5166
04-Feb-20,37674,20265,57939,12673,4618,17291,11398,2435,5129
05-Feb-20,36907,19762,56669,12654,4477,17131,11047,2364,4983
06-Feb-20,36918,19409,56327,12983,4492,17475,10888,2311,4876
07-Feb-20,36486,18987,55473,13005,4453,17458,10670,2254,4762
08-Feb-20,36248,18708,54956,13072,4496,17568,10524,2200,4648
09-Feb-20,36108,18515,54623,13223,4535,17758,10450,2132,4505
10-Feb-20,35823,18280,54103,13225,4503,17728,10344,2097,4436
11-Feb-20,36035,18112,54147,13622,4534,18156,10260,2053,4341
12-Feb-20,35825,17809,53634,13700,4519,18219,10159,2007,4243
13-Feb-20,38042,20874,58916,12527,4712,17239,11624,2467,5200
14-Feb-20,37969,20837,58806,12482,4680,17162,11614,2471,5207
15-Feb-20,38019,20831,58850,12518,4688,17206,11618,2473,5211
16-Feb-20,38034,20813,58847,12547,4692,17239,11614,2467,5198
17-Feb-20,38077,20796,58873,12566,4717,17283,11603,2470,5202
18-Feb-20,38078,20774,58852,12576,4711,17287,11597,2476,5217
19-Feb-20,38000,20742,58742,12580,4703,17283,11566,2459,5181
20-Feb-20,37989,20730,58719,12603,4693,17296,11554,2459,5182
21-Feb-20,37926,20744,58670,12560,4683,17243,11561,2453,5172
22-Feb-20,37973,20764,58737,12562,4666,17228,11583,2461,5188
23-Feb-20,38026,20748,58774,12582,4690,17272,11579,2466,5197
24-Feb-20,37996,20700,58696,12579,4697,17276,11552,2467,5199
25-Feb-20,37972,20683,58655,12584,4694,17278,11539,2466,5199
26-Feb-20,37853,20654,58507,12521,4690,17211,11516,2461,5188
27-Feb-20,37879,20664,58543,12579,4681,17260,11516,2458,5182
28-Feb-20,37814,20661,58475,12533,4659,17192,11519,2455,5178
29-Feb-20,37790,20690,58480,12535,4660,17195,11519,2441,5147
01-Mar-20,37963,21288,59251,12159,4586,16745,11914,2489,5239
02-Mar-20,38222,21251,59473,12417,4689,17106,11881,2470,5202
03-Mar-20,37804,20638,58442,12539,4683,17222,11472,2455,5177
04-Mar-20,37709,20273,57982,12680,4617,17297,11414,2444,5146
05-Mar-20,36915,19730,56645,12685,4484,17169,11032,2357,4975
06-Mar-20,36880,19369,56249,12972,4501,17473,10859,2312,4879
07-Mar-20,36433,18940,55373,13013,4451,17464,10641,2245,4743
08-Mar-20,36306,18672,54978,13118,4503,17621,10508,2214,4679
09-Mar-20,36081,18431,54512,13240,4542,17782,10417,2134,4506
10-Mar-20,35733,18215,53948,13210,4508,17718,10293,2092,4428
11-Mar-20,36037,18147,54184,13634,4525,18159,10290,2037,4308
12-Mar-20,35839,17771,53610,13720,4534,18254,10142,2015,4255
13-Mar-20,37532,20458,57990,12493,4627,17120,11408,2437,5135
14-Mar-20,37452,20467,57919,12436,4600,17036,11406,2438,5135
15-Mar-20,37529,20492,58021,12488,4637,17125,11408,2433,5126
16-Mar-20,37480,20401,57881,12506,4628,17134,11357,2437,5136
17-Mar-20,37503,20421,57924,12511,4626,17137,11373,2438,5138
18-Mar-20,37492,20372,57864,12537,4619,17156,11344,2442,5147
19-Mar-20,37455,20358,57813,12528,4618,17146,11317,2444,5151
20-Mar-20,37303,20352,57655,12413,4610,17023,11310,2433,5132
21-Mar-20,37353,20351,57704,12462,4598,17060,11319,2432,5130
22-Mar-20,37478,20358,57836,12539,4616,17155,11332,2441,5148
23-Mar-20,37520,20383,57903,12579,4608,17187,11355,2435,5134
24-Mar-20,37567,20406,57973,12565,4603,17168,11387,2446,5157
25-Mar-20,37603,20372,57975,12573,4619,17192,11400,2444,5151
26-Mar-20,37604,20371,57975,12574,4612,17186,11412,2445,5151
27-Mar-20,37562,20357,57919,12562,4578,17140,11430,2439,5137
28-Mar-20,37667,20347,58014,12622,4614,17236,11437,2436,5130
29-Mar-20,37680,20362,58042,12618,4621,17239,11441,2440,5138
30-Mar-20,37708,20347,58055,12635,4635,17270,11437,2441,5139
31-Mar-20,37757,20341,58098,12677,4629,17306,11433,2448,5153
01-Apr-20,37952,21292,59244,12162,4569,16731,11915,2487,5234
02-Apr-20,37932,20906,58838,12409,4717,17126,11639,2456,5171
03-Apr-20,37744,20597,58341,12524,4679,17203,11441,2460,5187
04-Apr-20,37698,20280,57978,12681,4618,17299,11409,2440,5137
05-Apr-20,36972,19749,56721,12710,4493,17203,11038,2364,4986
06-Apr-20,36856,19329,56185,12993,4504,17497,10840,2304,4861
07-Apr-20,36268,18967,55235,12825,4437,17262,10655,2253,4759
08-Apr-20,36268,18675,54943,13104,4497,17601,10507,2203,4656
09-Apr-20,36009,18404,54413,13217,4531,17748,10397,2134,4508
10-Apr-20,35832,18240,54072,13299,4512,17811,10310,2088,4420
11-Apr-20,35950,18069,54019,13588,4536,18124,10257,2036,4304
12-Apr-20,35871,17805,53676,13726,4528,18254,10156,2021,4268
13-Apr-20,37664,20181,57845,12693,4635,17328,11371,2428,5117
14-Apr-20,37536,20109,57645,12643,4621,17264,11332,2425,5109
15-Apr-20,37493,20091,57584,12637,4628,17265,11312,2415,5091
16-Apr-20,37478,20023,57501,12720,4662,17382,11230,2402,5064
17-Apr-20,37455,20003,57458,12786,4638,17424,11163,2401,5060
18-Apr-20,37503,19998,57501,12810,4649,17459,11165,2407,5070
19-Apr-20,37456,19991,57447,12781,4628,17409,11164,2410,5076
20-Apr-20,37403,19965,57368,12766,4608,17374,11149,2409,5074
21-Apr-20,37333,19949,57282,12714,4608,17322,11143,2404,5064
22-Apr-20,37386,19976,57362,12779,4595,17374,11155,2396,5048
23-Apr-20,37336,19948,57284,12753,4608,17361,11129,2395,5045
24-Apr-20,37247,19891,57138,12702,4617,17319,11103,2393,5038
25-Apr-20,37222,19899,57121,12702,4614,17316,11108,2381,5015
26-Apr-20,37311,19892,57203,12782,4630,17412,11098,2381,5016
27-Apr-20,37308,19861,57169,12805,4623,17428,11087,2383,5021
28-Apr-20,37239,19858,57097,12774,4601,17375,11089,2373,5003
29-Apr-20,37148,19819,56967,12764,4594,17358,11065,2351,4961
30-Apr-20,37084,19792,56876,12753,4546,17299,11064,2351,4961
01-May-20,38174,21367,59541,12293,4606,16899,11957,2483,5225
02-May-20,38032,20941,58973,12479,4711,17190,11662,2457,5177
03-May-20,37681,20542,58223,12529,4662,17191,11428,2451,5167
04-May-20,37747,20274,58021,12695,4631,17326,11406,2450,5159
05-May-20,36941,19726,56667,12734,4496,17230,11028,2342,4944
06-May-20,36852,19249,56101,13031,4479,17510,10809,2318,4891
07-May-20,36445,18957,55402,13015,4439,17454,10653,2249,4750
08-May-20,36241,18627,54868,13096,4498,17594,10488,2213,4675
09-May-20,36037,18399,54436,13248,4522,17770,10398,2135,4511
10-May-20,35840,18201,54041,13289,4510,17799,10295,2104,4448
11-May-20,35950,18081,54031,13579,4539,18118,10262,2035,4302
12-May-20,35907,17779,53686,13765,4554,18319,10132,2024,4275
13-May-20,36952,19676,56628,12744,4516,17260,11014,2341,4945
14-May-20,36924,19628,56552,12790,4501,17291,10978,2335,4933
15-May-20,36876,19616,56492,12745,4493,17238,10976,2337,4940
16-May-20,36889,19598,56487,12775,4488,17263,10960,2340,4945
17-May-20,36937,19574,56511,12815,4504,17319,10948,2342,4949
18-May-20,36933,19528,56461,12830,4499,17329,10942,2342,4947
19-May-20,36948,19566,56514,12825,4503,17328,10956,2339,4943
20-May-20,36975,19559,56534,12872,4510,17382,10953,2328,4919
21-May-20,36934,19546,56480,12871,4506,17377,10930,2328,4920
22-May-20,36888,19552,56440,12819,4496,17315,10946,2325,4914
23-May-20,36870,19494,56364,12821,4523,17344,10918,2325,4915
24-May-20,36844,19490,56334,12810,4510,17320,10919,2325,4912
25-May-20,36871,19522,56393,12813,4501,17314,10938,2328,4918
26-May-20,36883,19541,56424,12811,4506,17317,10942,2332,4924
27-May-20,36892,19550,56442,12830,4512,17342,10949,2324,4909
28-May-20,36870,19485,56355,12860,4504,17364,10923,2319,4898
29-May-20,36842,19472,56314,12841,4495,17336,10922,2319,4897
30-May-20,36753,19414,56167,12797,4502,17299,10887,2315,4888
31-May-20,36873,19410,56283,12891,4522,17413,10887,2317,4891
01-Jun-20,38171,21327,59498,12327,4611,16938,11934,2483,5226
02-Jun-20,38023,20939,58962,12471,4696,17167,11674,2458,5178
03-Jun-20,37606,20480,58086,12496,4658,17154,11409,2452,5172
04-Jun-20,37702,20278,57980,12669,4609,17278,11414,2448,5154
05-Jun-20,37006,19760,56766,12748,4529,17277,11040,2341,4941
06-Jun-20,36766,19256,56022,12958,4478,17436,10810,2314,4884
07-Jun-20,36555,18949,55504,13067,4481,17548,10658,2254,4764
08-Jun-20,36276,18669,54945,13148,4481,17629,10508,2205,4660
09-Jun-20,35959,18372,54331,13202,4509,17711,10385,2136,4515
10-Jun-20,35849,18247,54096,13287,4517,17804,10320,2096,4429
11-Jun-20,35918,18054,53972,13581,4523,18104,10227,2045,4322
12-Jun-20,35903,17771,53674,13760,4554,18314,10137,2023,4273
13-Jun-20,36734,19238,55972,12935,4478,17413,10805,2306,4868
14-Jun-20,36794,19237,56031,12993,4491,17484,10801,2303,4862
15-Jun-20,36814,19256,56070,13012,4467,17479,10800,2318,4891
17-Jun-20,36717,19195,55912,13052,4442,17494,10774,2286,4829
18-Jun-20,36640,19170,55810,13054,4387,17441,10755,2289,4834
19-Jun-20,36647,19136,55783,13031,4466,17497,10725,2282,4818
20-Jun-20,36641,19133,55774,13028,4471,17499,10722,2281,4814
21-Jun-20,36638,19131,55769,12991,4493,17484,10727,2281,4816
22-Jun-20,36687,19170,55857,13010,4485,17495,10742,2287,4827
23-Jun-20,36689,19152,55841,13009,4478,17487,10745,2289,4832
24-Jun-20,36614,19045,55659,13045,4492,17537,10675,2273,4801
25-Jun-20,36605,19018,55623,13035,4492,17527,10681,2272,4799
26-Jun-20,36530,18983,55513,12985,4487,17472,10662,2271,4797
28-Jun-20,36556,18984,55540,13056,4467,17523,10657,2261,4777
29-Jun-20,36565,18980,55545,13080,4466,17546,10658,2253,4759
30-Jun-20,36562,18991,55553,13066,4464,17530,10664,2260,4772
01-Jul-20,38236,21347,59583,12353,4635,16988,11946,2485,5226
02-Jul-20,37967,20902,58869,12448,4690,17138,11659,2454,5173
03-Jul-20,37606,20499,58105,12453,4661,17114,11426,2457,5183
04-Jul-20,37716,20266,57982,12686,4617,17303,11399,2450,5160
05-Jul-20,36932,19760,56692,12711,4517,17228,11033,2337,4931
07-Jul-20,36468,18926,55394,13086,4451,17537,10633,2239,4733
08-Jul-20,36205,18633,54838,13117,4485,17602,10490,2199,4648
09-Jul-20,36038,18425,54463,13235,4532,17767,10411,2131,4502
10-Jul-20,35882,18252,54134,13321,4528,17849,10318,2089,4413
11-Jul-20,35889,18029,53918,13576,4523,18099,10214,2042,4317
12-Jul-20,35880,17746,53626,13779,4545,18324,10113,2028,4284
13-Jul-20,36477,18858,55335,13136,4465,17601,10590,2245,4746
14-Jul-20,36472,18895,55367,13108,4470,17578,10617,2235,4726
15-Jul-20,36333,18918,55251,12933,4481,17414,10638,2234,4724
16-Jul-20,36447,18874,55321,13089,4476,17565,10612,2235,4723
17-Jul-20,36393,18854,55247,13070,4461,17531,10601,2228,4706
18-Jul-20,36358,18802,55160,13061,4477,17538,10568,2232,4714
19-Jul-20,36409,18825,55234,13081,4478,17559,10577,2235,4723
20-Jul-20,36438,18820,55258,13112,4479,17591,10579,2234,4721
21-Jul-20,36462,18834,55296,13128,4488,17616,10593,2227,4709
22-Jul-20,36464,18820,55284,13168,4474,17642,10585,2225,4704
23-Jul-20,36405,18801,55206,13120,4487,17607,10574,2222,4696
24-Jul-20,36362,18761,55123,13113,4461,17574,10568,2220,4689
25-Jul-20,36376,18758,55134,13114,4466,17580,10565,2225,4697
26-Jul-20,36388,18730,55118,13145,4486,17631,10547,2217,4681
27-Jul-20,36359,18717,55076,13130,4489,17619,10537,2214,4673
28-Jul-20,36355,18724,55079,13129,4481,17610,10550,2205,4655
29-Jul-20,36364,18684,55048,13160,4491,17651,10527,2212,4668
30-Jul-20,36374,18716,55090,13141,4508,17649,10542,2208,4663
31-Jul-20,36212,18718,54930,13048,4486,17534,10529,2195,4638
01-Aug-20,38272,21354,59626,12383,4633,17016,11967,2476,5211
02-Aug-20,37971,20854,58825,12464,4704,17168,11623,2468,5205
03-Aug-20,37680,20478,58158,12522,4660,17182,11418,2462,5193
04-Aug-20,37667,20254,57921,12694,4631,17325,11351,2445,5150
05-Aug-20,37038,19707,56745,12809,4531,17340,11011,2345,4950
06-Aug-20,36851,19265,56116,13021,4472,17493,10821,2312,4881
07-Aug-20,36471,18906,55377,13099,4463,17562,10621,2243,4738
08-Aug-20,36139,18623,54762,13085,4475,17560,10486,2194,4636
09-Aug-20,36052,18425,54477,13211,4554,17765,10408,2140,4521
10-Aug-20,35870,18189,54059,13312,4532,17844,10287,2102,4441
11-Aug-20,35964,18036,54000,13632,4523,18155,10225,2046,4325
12-Aug-20,35917,17781,53698,13787,4548,18335,10131,2022,4274
13-Aug-20,36227,18614,54841,13155,4529,17684,10479,2183,4612
14-Aug-20,36142,18587,54729,13091,4520,17611,10469,2189,4622
15-Aug-20,36174,18590,54764,13128,4516,17644,10468,2195,4635
16-Aug-20,36263,18613,54876,13192,4521,17713,10480,2195,4635
17-Aug-20,36216,18521,54737,13225,4526,17751,10430,2184,4612
18-Aug-20,36141,18521,54662,13145,4518,17663,10431,2187,4619
19-Aug-20,36233,18550,54783,13177,4531,17708,10466,2193,4629
20-Aug-20,36256,18535,54791,13224,4547,17771,10449,2183,4611
21-Aug-20,36193,18517,54710,13205,4527,17732,10434,2184,4610
22-Aug-20,36180,18524,54704,13190,4540,17730,10440,2173,4590
23-Aug-20,36226,18523,54749,13211,4546,17757,10446,2172,4591
24-Aug-20,36242,18514,54756,13221,4538,17759,10444,2178,4602
25-Aug-20,36138,18463,54601,13212,4545,17757,10415,2154,4553
26-Aug-20,36143,18487,54630,13220,4556,17776,10424,2139,4524
27-Aug-20,36180,18517,54697,13223,4552,17775,10441,2144,4534
28-Aug-20,36177,18461,54638,13231,4544,17775,10419,2158,4563
29-Aug-20,36220,18457,54677,13263,4557,17820,10425,2157,4561
30-Aug-20,36183,18472,54655,13230,4546,17776,10432,2156,4560
31-Aug-20,36134,18436,54570,13226,4533,17759,10414,2158,4562
01-Sept-20,38356,21457,59813,12391,4656,17047,12017,2475,5207
02-Sept-20,38043,20871,58914,12505,4700,17205,11639,2471,5211
03-Sept-20,37688,20453,58141,12527,4660,17187,11410,2476,5221
04-Sept-20,37621,20221,57842,12692,4633,17325,11329,2433,5121
05-Sept-20,37061,19710,56771,12800,4542,17342,11013,2351,4965
06-Sept-20,36836,19246,56082,13035,4465,17500,10813,2305,4865
07-Sept-20,36505,18951,55456,13102,4466,17568,10652,2237,4726
08-Sept-20,36222,18619,54841,13140,4496,17636,10483,2196,4641
09-Sept-20,36059,18431,54490,13263,4542,17805,10404,2125,4491
10-Sept-20,35887,18228,54115,13292,4536,17828,10303,2104,4447
11-Sept-20,35905,18021,53926,13590,4524,18114,10224,2043,4314
12-Sept-20,35953,17805,53758,13817,4558,18375,10142,2013,4254
13-Sept-20,36088,18410,54498,13283,4562,17845,10405,2130,4500
14-Sept-20,36008,18360,54368,13230,4557,17787,10381,2127,4495
15-Sept-20,36078,18382,54460,13310,4566,17876,10393,2118,4476
16-Sept-20,36098,18370,54468,13316,4576,17892,10399,2116,4470
17-Sept-20,36086,18352,54438,13334,4557,17891,10393,2116,4471
18-Sept-20,36066,18377,54443,13280,4549,17829,10411,2123,4486
19-Sept-20,36020,18340,54360,13284,4555,17839,10373,2115,4471
20-Sept-20,36071,18355,54426,13292,4568,17860,10393,2116,4473
21-Sept-20,36041,18296,54337,13315,4554,17869,10369,2116,4472
22-Sept-20,36024,18300,54324,13327,4565,17892,10358,2101,4443
23-Sept-20,35923,18250,54173,13293,4546,17839,10334,2096,4430
24-Sept-20,35922,18266,54188,13280,4543,17823,10344,2101,4440
25-Sept-20,35876,18257,54133,13220,4523,17743,10345,2113,4467
26-Sept-20,35850,18240,54090,13229,4510,17739,10335,2109,4459
27-Sept-20,35921,18269,54190,13272,4523,17795,10345,2107,4457
28-Sept-20,35919,18213,54132,13313,4510,17823,10308,2114,4472
29-Sept-20,35881,18255,54136,13276,4493,17769,10328,2112,4468
30-Sept-20,35873,18270,54143,13278,4520,17798,10326,2096,4434
01-Oct-20,38204,21443,59647,12308,4619,16927,12011,2469,5195
02-Oct-20,38018,20854,58872,12503,4701,17204,11619,2472,5213
03-Oct-20,37667,20453,58120,12527,4664,17191,11414,2461,5190
04-Oct-20,37577,20185,57762,12658,4636,17294,11318,2433,5122
05-Oct-20,37096,19706,56802,12826,4536,17362,11015,2358,4981
06-Oct-20,36811,19224,56035,13033,4481,17514,10796,2297,4850
07-Oct-20,36557,18930,55487,13152,4486,17638,10641,2236,4724
08-Oct-20,36230,18611,54841,13116,4514,17630,10480,2206,4663
09-Oct-20,36070,18417,54487,13277,4564,17841,10405,2118,4475
10-Oct-20,35935,18226,54161,13348,4521,17869,10316,2100,4439
11-Oct-20,35870,17972,53842,13608,4519,18127,10194,2038,4307
12-Oct-20,35897,17773,53670,13783,4553,18336,10115,2020,4265
13-Oct-20,35967,18247,54214,13352,4542,17894,10313,2102,4443
14-Oct-20,35878,18188,54066,13380,4511,17891,10276,2085,4410
15-Oct-20,35960,18240,54200,13419,4514,17933,10304,2086,4411
16-Oct-20,35991,18267,54258,13431,4520,17951,10315,2086,4410
17-Oct-20,35977,18259,54236,13432,4526,17958,10304,2088,4412
18-Oct-20,36074,18293,54367,13463,4532,17995,10331,2093,4422
19-Oct-20,35959,18256,54215,13404,4531,17935,10306,2084,4404
20-Oct-20,35961,18275,54236,13434,4529,17963,10306,2076,4387
21-Oct-20,35867,18218,54085,13423,4508,17931,10280,2062,4358
22-Oct-20,35944,18275,54219,13437,4522,17959,10312,2067,4364
23-Oct-20,35946,18281,54227,13403,4520,17923,10327,2073,4380
24-Oct-20,35913,18231,54144,13433,4503,17936,10301,2070,4374
25-Oct-20,35923,18244,54167,13409,4529,17938,10316,2063,4360
26-Oct-20,35988,18186,54174,13479,4530,18009,10304,2070,4375
27-Oct-20,36022,18181,54203,13505,4544,18049,10305,2067,4371
28-Oct-20,35926,18106,54032,13502,4544,18046,10270,2047,4332
29-Oct-20,35991,18093,54084,13569,4542,18111,10261,2055,4345
30-Oct-20,35983,18107,54090,13562,4523,18085,10277,2058,4353
31-Oct-20,35980,18129,54109,13536,4516,18052,10293,2060,4359
01-Nov-20,38212,21471,59683,12323,4607,16930,12024,2464,5186
02-Nov-20,38032,20868,58900,12522,4702,17224,11627,2463,5195
03-Nov-20,37653,20465,58118,12519,4663,17182,11416,2463,5195
04-Nov-20,37591,20181,57772,12667,4622,17289,11334,2431,5123
05-Nov-20,37099,19700,56799,12810,4561,17371,11014,2356,4978
06-Nov-20,36788,19240,56028,13001,4501,17502,10802,2290,4835
07-Nov-20,36547,18913,55460,13151,4462,17613,10636,2244,4740
08-Nov-20,36154,18583,54737,13092,4532,17624,10473,2181,4607
09-Nov-20,36013,18410,54423,13236,4539,17775,10413,2120,4479
10-Nov-20,35961,18229,54190,13366,4540,17906,10322,2092,4423
11-Nov-20,35933,17984,53917,13682,4543,18225,10202,2020,4265
12-Nov-20,35903,17781,53684,13789,4562,18351,10115,2020,4265
13-Nov-20,35978,18028,54006,13659,4563,18222,10213,2035,4301
14-Nov-20,35982,18061,54043,13649,4559,18208,10242,2033,4296
15-Nov-20,35973,18043,54016,13640,4557,18197,10241,2034,4296
16-Nov-20,35913,17961,53874,13647,4558,18205,10192,2031,4290
17-Nov-20,35960,17917,53877,13728,4574,18302,10176,2017,4263
18-Nov-20,36005,17958,53963,13744,4562,18306,10196,2027,4282
19-Nov-20,35975,17895,53870,13750,4574,18324,10168,2021,4270
20-Nov-20,35894,17903,53797,13673,4551,18224,10181,2025,4279
21-Nov-20,35955,17948,53903,13695,4545,18240,10211,2030,4288
22-Nov-20,35951,17974,53925,13647,4557,18204,10234,2026,4281
23-Nov-20,36023,17985,54008,13703,4550,18253,10254,2028,4286
24-Nov-20,35854,17899,53753,13668,4532,18200,10202,2009,4243
25-Nov-20,35830,17899,53729,13655,4499,18154,10205,2017,4264
26-Nov-20,35829,17914,53743,13628,4487,18115,10218,2025,4277
27-Nov-20,35817,17891,53708,13645,4510,18155,10205,2008,4242
28-Nov-20,35848,17897,53745,13664,4514,18178,10207,2012,4249
29-Nov-20,35839,17847,53686,13713,4508,18221,10181,2003,4232
30-Nov-20,35812,17780,53592,13692,4522,18214,10151,2011,4249
01-Dec-20,38281,21493,59774,12383,4636,17019,12023,2458,5170
02-Dec-20,38013,20850,58863,12504,4710,17214,11613,2470,5207
03-Dec-20,37684,20488,58172,12561,4656,17217,11423,2457,5176
04-Dec-20,37606,20170,57776,12667,4626,17293,11352,2432,5125
05-Dec-20,36987,19649,56636,12788,4539,17327,10990,2340,4945
06-Dec-20,36737,19224,55961,12956,4497,17453,10797,2295,4845
07-Dec-20,36495,18867,55362,13117,4486,17603,10602,2243,4741
08-Dec-20,36268,18639,54907,13148,4546,17694,10491,2189,4625
09-Dec-20,36022,18449,54471,13201,4542,17743,10437,2124,4486
10-Dec-20,35975,18205,54180,13397,4543,17940,10302,2093,4425
11-Dec-20,35949,17974,53923,13682,4557,18239,10191,2029,4287
12-Dec-20,35913,17781,53694,13791,4561,18352,10130,2019,4260
13-Dec-20,35984,17794,53778,13848,4570,18418,10131,2016,4257
14-Dec-20,35969,17743,53712,13865,4569,18434,10103,2015,4253
15-Dec-20,35961,17721,53682,13882,4556,18438,10093,2012,4248
16-Dec-20,35930,17674,53604,13878,4554,18432,10058,2022,4267
17-Dec-20,35991,17661,53652,13913,4558,18471,10067,2025,4270
18-Dec-20,35969,17661,53630,13875,4561,18436,10072,2023,4267
19-Dec-20,35930,17627,53557,13883,4548,18431,10055,2021,4263
20-Dec-20,36009,17656,53665,13932,4551,18483,10072,2024,4270
21-Dec-20,35872,17570,53442,13875,4549,18424,10016,2024,4269
22-Dec-20,35807,17549,53356,13856,4551,18407,10002,2012,4243
23-Dec-20,35787,17564,53351,13827,4537,18364,10022,2003,4223
24-Dec-20,35785,17600,53385,13849,4521,18370,10038,1989,4197
25-Dec-20,35839,17570,53409,13897,4521,18418,10021,2001,4223
26-Dec-20,35894,17576,53470,13931,4534,18465,10030,1998,4218
27-Dec-20,35942,17592,53534,13950,4542,18492,10039,2004,4233
